계좌	시장	종목코드	종목명	기본 모으기주기	중단이유	기본금액	우선순위	적용 모으기주기	적용금액	중지사유	오늘 실행	월 예상금액	실행순번	비고
해외	US	QQQ	QQQ	매일		4,000	5	매일	4,000		오늘 실행	88,000	1	
해외	US	SCHD	SCHD	매일		2,000	5	매일	2,000		오늘 실행	44,000	2	
해외	US	SMH	SMH	매일		1,000	3	매일	1,000		오늘 실행	22,000	3	
해외	US	SPY	SPY	매일		4,000	5	매일	4,000		오늘 실행	88,000	4	
해외	US	VIG	VIG	매일		2,000	5	매일	2,000		오늘 실행	44,000	5	
해외	US	XLI	XLI	매일		1,000	3	매일	1,000		오늘 실행	22,000	6	
해외	US	XLV	XLV	매일		1,000	3	매일	1,000		오늘 실행	22,000	7	
해외	US	GEV	GE 버노바	매일		2,000	3	매일	2,000		오늘 실행	44,000	8	
해외	US	MSFT	마이크로소프트	매일		2,000	5	매일	2,000		오늘 실행	44,000	9	
해외	US	BRK.B	버크셔 해서웨이 B	매월 15일		20,000	3	매월 15일	20,000		대기	20,000		
해외	US	VRT	버티브 홀딩스	매일		1,500	3	매일	1,500		오늘 실행	33,000	10	
해외	US	AVGO	브로드컴	매일		2,000	5	매일	2,000		오늘 실행	44,000	11	
해외	US	V	비자	매월 15일		10,000	3	매월 15일	10,000		대기	10,000		
해외	US	SPCX	스페이스X	매주 월요일		3,000	3	매주 화요일	3,000		대기	12,990		
해외	US	AMZN	아마존닷컴	매일		1,500	5	매일	1,500		오늘 실행	33,000	12	
해외	US	GOOGL	알파벳A	매일		2,000	5	매일	2,000		오늘 실행	44,000	13	
해외	US	ABBV	애브비	매일		1,000	3	매일	1,000		오늘 실행	22,000	14	
해외	US	AAPL	애플	매일		1,000	5	매일	1,000		오늘 실행	22,000	15	
해외	US	NVDA	엔비디아	매일		1,500	5	매일	1,500		오늘 실행	33,000	16	
해외	US	WMT	월마트	매일		2,000	5	매일	2,000		오늘 실행	44,000	17	
해외	US	INTC	인텔	매일		2,000	3	매일	2,000		오늘 실행	44,000	18
해외	US	JPM	제이피모간체이스	매일		1,000	3	매일	1,000		오늘 실행	22,000	19	
해외	US	JNJ	존슨앤드존슨	매일		2,000	5	매일	2,000		오늘 실행	44,000	20	
해외	US	COST	코스트코 홀세일	매월 15일		10,000	3	매월 15일	10,000		대기	10,000		
해외	US	CEG	콘스텔레이션 에너지	매일		1,500	3	매일	1,500		오늘 실행	33,000	21	
